"","TITULO","VISITAS","GENERO"
"65","Hajimete no Gal",79940,"s-AccióN-Comedia-Sobrenatural-Vida Escolar-"
"66","Namaikizakari",79575,"s-Comedia-Ecchi-FantasíA-Harem-Maduro-Romance-Seinen-"
"67","Masamune-kun no Revenge",79098,"s- AccióN-Aventura-Comedia-Drama-FantasíA-Harem-Magia-Romance-Seinen-Shonen-"
"68","Yuragi-sou no Yuuna-san",77327,"s-Comedia-ReencarnacióN-Drama-Romance-FantasíA-"
"69","Household Affairs",76158,"s-Ecchi-Harem-Sobrenatural-Shonen-"
"70","GE - Good Ending",75129,"s-AccióN-Aventura-FantasíA-"
"71","Black Haze",74732,"s-Comedia-Romance-Escolar-Shounen-Vida Cotidiana-"
"72","Demon Spirit Seed Manual",74600,"s-Horror-Yaoi-PsicolóGico-Romance-"
"73","Nunca entiendes",74340,"s-Comedia-Drama-Romance-Escolar-Shounen-Vida Cotidiana-"
"74","Perfect Half",74119,"s-Aventura-Comedia-FantasíA-"
"75","Owari no Seraph",73884,"s-AccióN-Aventura-Drama-FantasíA-Misterio-Shounen-Sobrenatural-"
"76","Wu Dong Qian Kun",73670,"s-AccióN-Aventura-Comedia-Deportes-FantasíA-Magia-Romance-Shonen-"
"77","Mujaki no Rakuen",73155,"s-AccióN-Aventura-FantasíA-Harem-Romance-"
"78","Yahalue",73122,"s-Romance-Drama-Comedia-Yaoi Soft-"
"79","Mujaki no Rakuen",76503,"s-Comedia-Maduro-Vida Escolar-Yaoi-"
"80","Koe no Katachi",76420,"s-Yaoi-Sobrenatural-"
"81","SStudy",72465,"s-Comedia-Ecchi-Romance-Vida Escolar-"
"82","Dice: el cubo que lo cambia todo·",70949,"s-AccióN-Artes Marciales-Drama-Ecchi-FantasíA-Horror-Misterio-PsicolóGico-Sobrenatural-Tragedia-"
"83","Hidoku Shinaide",70945,"s-Yaoi Soft-Comedia-Romance-"
"84","Love Parameter",69427,"s-Romance-Ecchi-"
"85","Kenja no Mago",69228,"s-Drama-Romance-Shojo-Vida Escolar-"
"86","Mob Psycho 100",69149,"s-AccióN-Aventura-Comedia-FantasíA-Romance-Harem-"
"87","Tsugumomo",69080,"s-Comedia-Harem-Romance-Shojo-Vida Escolar-"
"88","Little Girl",68947,"s-Ciencia FiccióN-Comedia-Ecchi-Maduro-"
"89","Hirunaka no Ryuusei",68779,"s-AccióN-Comedia-Drama-Artes Marciales-Romance-Shounen-"
"90","Akame ga Kill!",67557,"s-Drama-Ecchi-Harem-FantasíA-Romance-"
"91","Tomo-chan wa Onnanoko!",65658,"s-Yaoi Soft-"
"92","Al final del camino",64931,"s-Yaoi Soft-"
"93","Tsubaki Chou Lonely Planet",63436,"s-Comedia-Ecchi-Romance-Vida Escolar-"
"94","Tensei Shitara Slime Datta Ken",63358,"s-Comedia-Drama-Ecchi-Gender Bender-Romance-Seinen-Vida Escolar-"
"95","Kedamono Kareshi",62887,"s-Romance-Comedia-Vida Escolar-"
